,Deaths,Deaths,Deaths,Reported cases,Reported cases,Reported cases
,Guinea,Liberia,Sierra Leone,Guinea,Liberia,Sierra Leone
Date,,,,,,
2014-06-16,0,2.0,0,0,1.0,0
2014-06-17,0,0.0,0,0,0.0,0
2014-06-22,0,4.0,0,0,5.0,0
2014-06-24,0,4.0,0,0,4.0,0
2014-06-25,0,3.0,0,0,2.0,0
2014-06-28,0,1.0,0,0,1.0,0
2014-06-29,0,0.0,0,0,2.0,0
2014-07-01,0,5.0,0,0,2.0,0
2014-07-02,0,5.0,0,0,0.0,0
2014-07-03,0,4.0,0,0,1.0,0
2014-07-07,0,2.0,0,0,5.0,0
2014-07-08,0,2.0,0,0,0.0,0
2014-07-10,0,4.0,0,0,0.0,0
2014-07-13,0,3.0,0,0,0.0,0
2014-07-17,0,3.0,0,0,0.0,0
2014-07-20,0,4.0,0,0,1.0,0
2014-07-24,0,6.0,0,0,5.0,0
2014-07-26,0,9.0,0,0,6.0,0
2014-08-02,0,13.0,0,0,0.0,0
2014-08-04,4,7.0,0,2,1.0,0
2014-08-12,0,29.0,11,0,2.0,264
2014-08-13,0,0.0,15,0,0.0,273
2014-08-14,0,0.0,13,0,0.0,280
2014-08-15,0,17.0,10,0,4.0,287
2014-08-16,0,0.0,18,0,0.0,297
2014-08-17,0,11.0,2,0,0.0,305
2014-08-18,0,30.0,5,0,2.0,312
2014-08-19,0,0.0,9,0,0.0,320
2014-08-20,0,23.0,4,0,18.0,322
2014-08-21,0,0.0,9,0,0.0,329
2014-08-22,0,0.0,56,0,0.0,333
2014-08-23,0,0.0,23,0,0.0,336
2014-08-25,0,28.0,20,0,0.0,355
2014-08-26,10,0.0,0,292,0.0,0
2014-08-27,10,0.0,27,294,0.0,372
2014-08-28,0,51.0,30,0,22.0,377
2014-08-30,9,0.0,44.0,324,0.0,387.0
2014-08-31,29,0.0,44,337,0.0,387
2014-09-01,0,34.0,9,0,14.0,396
2014-09-02,14,47.0,31,349,3.0,399
2014-09-03,0,27.0,28,0,8.0,404
2014-09-04,17,36.0,0,368,12.0,0
2014-09-05,0,51.0,0,0,0.0,0
2014-09-06,0,44.0,42,0,6.0,426
2014-09-07,11,22.0,11,402,20.0,428
2014-09-08,11,47.0,17,402,12.0,433
