,University,Canton
2,"NPO (Biblioth., Museen, Verwalt.)",
29,"Eidg. Forschungsanstalt für Wald,Schnee,Land",ZH
56,Inst. de Hautes Etudes Internat. et du Dév,GE
83,Weitere Institute,
89,Firmen/Privatwirtschaft,
138,Pädagogische Hochschule Graubünden,GR
674,Schweiz. Institut für Kunstwissenschaft,ZH
704,SUP della Svizzera italiana,TI
748,HES de Suisse occidentale,JU
1793,Eidg. Anstalt für Wasserversorgung,ZH
1851,Eidg. Material und Prüfungsanstalt,ZH
2471,Berner Fachhochschule,BE
2634,Swiss Center for Electronics and Microtech.,NE
4872,Weitere Spitäler,
4961,Allergie- und Asthmaforschung,ZH
5090,Forschungsinstitut für biologischen Landbau,AG
5136,Friedrich Miescher Institute,BS
5292,Forschungsanstalten Agroscope,-
5847,Ente Ospedaliero Cantonale,TI
6072,Inst. universit. romand de Santé au Travail,VD
8266,Eidg. Hochschulinstitut für Berufsbildung,BE
8470,Zürcher Fachhochschule (ohne PH),ZH
8717,Università della Svizzera italiana,TI
8770,Institut für Kulturforschung Graubünden,GR
8825,Fachhochschule Nordwestschweiz (ohne PH),SO
9088,Interkant. Hochschule für Heilpädagogik ZH,ZH
11071,Centre de rech. sur l'environnement alpin,VS
14364,Idiap Research Institute,VS
16655,Institut Universitaire Kurt Bösch,VS
18035,Schweizer Paraplegiker Forschung,LU
19141,Forschungsinstitut für Opthalmologie,-
19316,Haute école pédagogique du canton de Vaud,VD
26433,Fachhochschule Ostschweiz,SG
27814,Inst. Suisse de Spéléologie et Karstologie,NE
27895,Swiss Institute of Bioinformatics,VD
28169,"Haute école pédagogique BE, JU, NE",
31512,Forschungskommission SAGW,BE
35067,Haute école pédagogique fribourgeoise,FR
40511,Fachhochschule Kalaidos,ZH
41018,Schweizer Kompetenzzentrum Sozialwissensch.,VD
41467,Pädagogische Hochschule Wallis,VS
43711,Schweiz. Hochschule für Logopädie Rorschach,SG
45038,Pädagogische Hochschule Zug,ZG
45459,Franklin University Switzerland,TI
48266,Pädagogische Hochschule Nordwestschweiz,
53016,Fernfachhochschule Schweiz (Mitglied SUPSI),
